dept,party,name,votes
Francisco Morazán,Liberal,Aixa Gabriela Zelaya Gomez,71231
Francisco Morazán,Liberal,Altagracia  Sanchez Melendez,49259
Francisco Morazán,Liberal,Amilcar  Bulnes Hernandez,55200
Francisco Morazán,Liberal,Angel Larissa Espinal Pinel,72075
Francisco Morazán,Liberal,Fabricio Jose Mejia Arita,45912
Francisco Morazán,Liberal,Federico  Duarte Acosta,40536
Francisco Morazán,Liberal,Gabo Alfredo Jalil Mejia,56970
Francisco Morazán,Liberal,Gabriela  Nu¿ez Ennabe,100875
Francisco Morazán,Liberal,Gustavo Adolfo Alfaro Zelaya,48085
Francisco Morazán,Liberal,Hilda Aracely Pacheco Montero,72189
Francisco Morazán,Liberal,Jariet Waldina Paz ,88793
Francisco Morazán,Liberal,Jose Cecilio Cruz Guevara,50693
Francisco Morazán,Liberal,Jose Natanael Euceda Pacheco,70699
Francisco Morazán,Liberal,Josuee Gerardo Aguilar Zelaya,51960
Francisco Morazán,Liberal,Lucio  Izaguirre Romero,53941
Francisco Morazán,Liberal,Luis Alberto Martinez ,39283
Francisco Morazán,Liberal,Marco Antonio Andino Flores,79307
Francisco Morazán,Liberal,Mario Luis Noe Villafranca,48534
Francisco Morazán,Liberal,Perla  Simons Morales,68035
Francisco Morazán,Liberal,Sandra Emilia Mu¿oz Reyes,54357
Francisco Morazán,Liberal,Silvio Danilo Pino Mercadal,43233
Francisco Morazán,Liberal,Temis  Caceres Andino,57381
Francisco Morazán,Liberal,Yadira Esperanza Benda¿a Flores,90868
Francisco Morazán,Nacional,Ada Maria Mejia Signorelli,106491
Francisco Morazán,Nacional,Antonio Cesar Rivera Callejas,142171
Francisco Morazán,Nacional,Cossette Alejandra Lopez Osorio Aguilar,123539
Francisco Morazán,Nacional,David Guillermo Chavez Madison,136144
Francisco Morazán,Nacional,Feryd Alberto Bascha Sahury,110327
Francisco Morazán,Nacional,Gaudy Alejandra Bustillo Martinez,112909
Francisco Morazán,Nacional,Hector Virgilio Martinez Lozano,120486
Francisco Morazán,Nacional,Jance Carolina Funes Dominguez,102223
Francisco Morazán,Nacional,Jose Danilo Izaguirre Bonilla,119901
Francisco Morazán,Nacional,Jose Oswaldo Ramos Soto,128442
Francisco Morazán,Nacional,Juan Diego Zelaya Aguilar,134820
Francisco Morazán,Nacional,Leana Rebeca Martinez Caceres,107507
Francisco Morazán,Nacional,Lena Karyn Gutierrez Arevalo,142982
Francisco Morazán,Nacional,Leonel Alejandro Giannini Espinal,123635
Francisco Morazán,Nacional,Lissi Marcela Matute Cano,124147
Francisco Morazán,Nacional,Maria Elena Ordo¿ez Lazo,120747
Francisco Morazán,Nacional,Oscar Arturo Alvarez Guerrero,150600
Francisco Morazán,Nacional,Ramon Dagoberto Rodriguez Allen,111097
Francisco Morazán,Nacional,Rigoberto  Chang Castillo,124840
Francisco Morazán,Nacional,Rossel Renan Inestroza Hernandez,131645
Francisco Morazán,Nacional,Santos Orlando Morazan Ponce,128218
Francisco Morazán,Nacional,Waleska Marlene Zelaya Portillo,126166
Francisco Morazán,Nacional,Wilmer Raynel Neal Velasquez,150304
Francisco Morazán,PAC,Adela Maria Medina ,47929
Francisco Morazán,PAC,Alejandro  Carbajal Lizano,50379
Francisco Morazán,PAC,Ana Joselina Fortin Pineda,70514
Francisco Morazán,PAC,Ana Patricia Mu¿oz Fernandez,54035
Francisco Morazán,PAC,Carlos Alberto Zelaya Irias,56806
Francisco Morazán,PAC,Claudia Patricia Rodriguez Rosales,65533
Francisco Morazán,PAC,Dilcia Maribel Galo Juarez,51646
Francisco Morazán,PAC,Fernando Abel Valladares Alvarado,45085
Francisco Morazán,PAC,Glenda Xiomara Osorio Nu¿ez,55685
Francisco Morazán,PAC,Gustavo Adolfo Manzanares Vaquero,46554
Francisco Morazán,PAC,Isaias  Moran Pavon,50218
Francisco Morazán,PAC,Jaime Ricardo Redondo Marini,51049
Francisco Morazán,PAC,Jorge Alberto Giarelli Ferrera,49173
Francisco Morazán,PAC,Jose Rafael Erazo Paisano,44167
Francisco Morazán,PAC,Juan Carlos Berganza Godoy,53930
Francisco Morazán,PAC,Juan Fernando Redondo Guifarro,50767
Francisco Morazán,PAC,Maria Lourdez Lagoz Rodriguez,51063
Francisco Morazán,PAC,Marlene Elizabeth Alvarenga Castellanos,65521
Francisco Morazán,PAC,Milton Omar Turcios Caceres,52254
Francisco Morazán,PAC,Rafael Virgilio Padilla Paz,69514
Francisco Morazán,PAC,Ramon Fernando Coto Mendez,54018
Francisco Morazán,PAC,Sayra Iveth Aguilera Espinal,44808
Francisco Morazán,PAC,Zenia Patricia Padgett Lagos,54526
Francisco Morazán,PAP,Adan Flaubert Rodriguez Sierra,4294
Francisco Morazán,PAP,Billy Fernando Joya Amendola,49019
Francisco Morazán,PAP,Bryan O Nell Hernandez Medina,3122
Francisco Morazán,PAP,Carlos Eduardo Suazo Diaz,2212
Francisco Morazán,PAP,Delia Emeli Laitano Giron,3815
Francisco Morazán,PAP,Deysi Xiomara Castro Lainez,1976
Francisco Morazán,PAP,Eduard Francisco Moreno Padilla,3376
Francisco Morazán,PAP,Fatima Viviana Hernandez ,3374
Francisco Morazán,PAP,Francisco Javier Ramirez Acosta,3547
Francisco Morazán,PAP,Gloria Maritza Garcia Suarez,10562
Francisco Morazán,PAP,Guido Antonio Bacci Grave De Peralta,3203
Francisco Morazán,PAP,Ivonne Esmeralda Pinto Rubio,3842
Francisco Morazán,PAP,Julia Francisca Reyes Casco,1824
Francisco Morazán,PAP,Julio Cesar Moreno Garcia,3259
Francisco Morazán,PAP,Karla Jeanine Padilla Reyes,4568
Francisco Morazán,PAP,Lilian Judith Miranda Murillo,5138
Francisco Morazán,PAP,Marvin Rigoberto Espinal Pinel,5281
Francisco Morazán,PAP,Miguel Enrique Nolasco Lopez,6087
Francisco Morazán,PAP,Nessy Minneth Suazo Melendez,6203
Francisco Morazán,PAP,Oscar Antonio Breve Duarte,3911
Francisco Morazán,PAP,Rosa Marivel Midence Alberto,3825
Francisco Morazán,PAP,Tulio Armando Valladares Herrera,2982
Francisco Morazán,PAP,Victor  Lopez Sevilla,2868
Francisco Morazán,PINU,Adriana  Guevara Osorio,6604
Francisco Morazán,PINU,Ana Lucia Freije Murillo,3359
Francisco Morazán,PINU,Ana Rosa Andino Matamoros,5380
Francisco Morazán,PINU,Angie Geraldina Varela Mejia,4350
Francisco Morazán,PINU,Carlos Alberto Padilla Velasco,4010
Francisco Morazán,PINU,Carlos Andres Zelaya Elvir,7212
Francisco Morazán,PINU,Carmen Ondina Benedit Blanco,10644
Francisco Morazán,PINU,Dora Lesvia Bracamonte Cortez,3671
Francisco Morazán,PINU,Doris Alejandrina Gutierrez ,64647
Francisco Morazán,PINU,German Edgardo Leitzelar Vidaurreta,57114
Francisco Morazán,PINU,Gladys  Pavon Garmendia,3849
Francisco Morazán,PINU,Jose Guillermo Cano Valladares,2812
Francisco Morazán,PINU,Jose Oscar Moran Mendez,4910
Francisco Morazán,PINU,Julio Santiago Soriano Miranda,5690
Francisco Morazán,PINU,Lorena  Mayen Elvir,2885
Francisco Morazán,PINU,Maria Eugenia Toro Zuniga,4173
Francisco Morazán,PINU,Mario Ernesto Rivera Vasquez,32529
Francisco Morazán,PINU,Mario Valentin Sanchez Valladares,3871
Francisco Morazán,PINU,Nelson Ivan Mejia Guardado,5410
Francisco Morazán,PINU,Olban Francisco Valladares Ordo¿ez,37816
Francisco Morazán,PINU,Roberto Eduardo Vallejo Diaz,3096
Francisco Morazán,PINU,Salvador  Lovo Reichmann,3424
Francisco Morazán,PINU,Yasmy Damarise Garcia ,3892
Francisco Morazán,UD,Abella Ester Carbajal Paz,6470
Francisco Morazán,UD,Adonis Fernando Colindres Amador,4344
Francisco Morazán,UD,Arjany Mariela Ramos Flores,4628
Francisco Morazán,UD,Carlos Alejandro Hernandez Soto,3489
Francisco Morazán,UD,Edwin Alexander Cardona Galvez,2820
Francisco Morazán,UD,Favio Enrique Moncada Nu¿ez,3343
Francisco Morazán,UD,Gustavo  Mendieta Murcia,5010
Francisco Morazán,UD,Jarvin Roberto Sanchez Jimenez,3258
Francisco Morazán,UD,Jeny Yaqueline Sauceda Ramos,3093
Francisco Morazán,UD,Jose Antonio Cruz Oliva,4945
Francisco Morazán,UD,Juan Fernando Gonzalez ,5419
Francisco Morazán,UD,Koritza Raquel Blanco Lopez,3727
Francisco Morazán,UD,Marta Alicia Meza Lagos,3829
Francisco Morazán,UD,Marvin  Ponce Sauceda,21310
Francisco Morazán,UD,Mederlyn Dayanie Lopez Jacome,4957
Francisco Morazán,UD,Mercedes Del Rosario Gomez Zuniga,3260
Francisco Morazán,UD,Milgia Del Carmen Hernandez Suazo,9107
Francisco Morazán,UD,Neira Yareli Banegas Osorio,5703
Francisco Morazán,UD,Nelson Josue Flores Mejia,2959
Francisco Morazán,UD,Osmin David Valle Castillo,2924
Francisco Morazán,UD,Rafael Leonidas Diaz Alcerro,16636
Francisco Morazán,UD,Yeny Fernanda Castillo Escalante,3779
Francisco Morazán,UD,Yohana Rebeca Fu Pe¿a,6470
Gracias a Dios,DC,Ezequiel  Cruz Carrillo,57
Gracias a Dios,LIBRE,Edmundo  Flores Zuniga,4610
Gracias a Dios,Liberal,Seth  Paisano Wood,5231
Gracias a Dios,Nacional,Alberto Samuel Haylock Echeverria,4478
Gracias a Dios,PAC,Emilia  Miranda Martinez,64
Gracias a Dios,PAP,Kenedy  Santos Godfry,86
Gracias a Dios,PINU,Marlen  Manister Pamistan,74
Gracias a Dios,UD-FAPER,Weber  Melado Granwell,76
Intibucá,DC,Jose Alilian Diaz ,620
Intibucá,DC,Maria Del Los Angeles Lopez Valladares,202
Intibucá,DC,Maria Mirsa Vijil Bautista,174
Intibucá,LIBRE,Celso  Sanchez Dominguez,13451
Intibucá,LIBRE,Jose Alberto Vasquez Cruz,15447
Intibucá,LIBRE,Maria Suyapa Aleman Reyes,11861
Intibucá,Liberal,Jorge Maynor Vargas Diaz,18022
Intibucá,Liberal,Maria De La Paz Cantarero ,6737
Intibucá,Liberal,Olga Graciela Bueso Meza,9578
Intibucá,Nacional,Elden  Vasquez ,29323
Intibucá,Nacional,Hodalma Lisseth Benitez Erazo,25278
Intibucá,Nacional,Miguel Angel Gamez ,29042
Intibucá,PAC,Alba Luz Manzanares Ramos,884
Intibucá,PAC,Juan Irene Giron Izaguirre,1047
Intibucá,PAC,Oswal Lennin Calix Mondragon,783
Intibucá,PAP,Daisy Carolina Gutierrez Pineda,236
Intibucá,PAP,Hector  Aguilar Claros,836
Intibucá,PAP,Jose Maria Lemus Nolasco,264
Intibucá,PINU,Delmy Yolibeth Hernandez Amaya,126
Intibucá,PINU,Kenia Argentina Sanchez Bautista,144
Intibucá,PINU,Mario  Vasquez Lemuz,111
Intibucá,UD-FAPER,Bertha Rosa Aguilar Aguilar,112
Intibucá,UD-FAPER,Juan  Mejia ,83
Intibucá,UD-FAPER,Olvin Reyniery Gonzales Dominguez,215
Islas de la Bahía,DC,Jose Uriel Rosales Miranda,64
Islas de la Bahía,FAPER,Oscar  Perez Guillen,316
Islas de la Bahía,LIBRE,Gustavo Adolfo Arriola Arias,1180
Islas de la Bahía,Liberal,Jerry Dave Hynds Julio,6778
Islas de la Bahía,Nacional,George Romeo Silvestri Ferez,4565
Islas de la Bahía,PAC,Oscar Augusto Lobo Discua,210
Islas de la Bahía,PAP,Jorge Alexander Antunez Erazo,420
Islas de la Bahía,PINU,Juan Carlos Gabarrete Velasquez,183
Islas de la Bahía,UD,Henry Alexander Zelaya Santos,387
La Paz,DC,Julio Cesar Orellana Vallecillo,627
La Paz,DC,Luis Alonso Palomo Martinez,570
La Paz,DC,Saira Joselina Isaula Manueles,1533
La Paz,FAPER,Glenis Laritza Lopez Velasquez,180
La Paz,FAPER,Oscar Rolando Melghem Due¿as,132
La Paz,FAPER,Roger Emilio Medina Ramos,212
La Paz,LIBRE,Abel  Benitez ,11644
La Paz,LIBRE,Miriam Elizabeth Perez Zelaya,9797
La Paz,LIBRE,Santos Victorino Rodriguez Yanes,11360
La Paz,Liberal,Manuel De Jesus Velasquez Flores,9375
La Paz,Liberal,Manuel Ivan Fiallos Rodas,10331
La Paz,Liberal,Maria Del Carmen Urquia Martinez,7717
La Paz,Nacional,Gladis Aurora Lopez Calderon,27124
La Paz,Nacional,Policarpo  Bonilla Pinel,17649
La Paz,Nacional,Raul Edgardo Bulnes Barahona,20013
La Paz,PAC,Fernanda  Lopez Perez,522
La Paz,PAC,Jose Ramon Morales Burdett,623
La Paz,PAC,Maria Enecon Perdomo Gomez,722
La Paz,PAP,Hector Adan Almendarez Vasquez,106
La Paz,PAP,Marylu  Troncony Castillo,268
La Paz,PAP,Oscar Edgardo Rodriguez Gomez,251
La Paz,PINU,Candida  Perez ,115
La Paz,PINU,Francisco  Vasquez ,440
La Paz,PINU,Sandra Lorena Argueta Ventura,222
La Paz,UD,Alejandro Jose Mendez Castillo,3934
La Paz,UD,Martza Elizabeth Arriaga ,1447
La Paz,UD,Nelson  Mendez Isaula,1250
Lempira,DC,Jose Alexander Mateo Lopez,62
Lempira,DC,Jose David Carrasco ,117
Lempira,DC,Maria Lucinda Reyes Portillo,122
Lempira,DC,Moises Urias Melgar Guardado,84
Lempira,DC,Nely Ondina Martinez ,266
Lempira,FAPER,Abel De Jesus Iraheta Cantarero,72
Lempira,FAPER,Cesar Dario Meza Padilla,101
Lempira,FAPER,Delmi Yaneth Castellanos Lorenzo,146
Lempira,FAPER,Noe Alejandro Perdomo Paz,71
Lempira,FAPER,Pastora  Villanueva Orellana,75
Lempira,LIBRE,Licida Leonor Borjas Hercules,27543
Lempira,LIBRE,Lily  Aguilar Madrid,28814
Lempira,LIBRE,Ryna Marisol Vasquez Sanchez,28453
Lempira,LIBRE,Victor Manuel Cruz Sanchez,27114
Lempira,LIBRE,Yester Omar Mu¿oz ,32012
Lempira,Liberal,Edgar Kinett Zacapa Lopez,9485
Lempira,Liberal,Erick Mauricio Rodriguez Gavarrete,13092
Lempira,Liberal,Leodegario  Mateo Garcia,6412
Lempira,Liberal,Nery Orlando Reyes Hernandez,14403
Lempira,Liberal,Yolanda Pamela Borjas Aplicano,5718
Lempira,Nacional,Edna Yolani Batres Cruz,50494
Lempira,Nacional,Juan Carlos Valenzuela Molina,52938
Lempira,Nacional,Salvador  Valeriano Pineda,53189
Lempira,Nacional,Samuel Armando Reyes Rendon,55708
Lempira,Nacional,Yesenia Soledad Gomez Alvarenga,48077
Lempira,PAC,Betulia  Ruiz Mejia,415
Lempira,PAC,Doreen Esther Flores Orellana,323
Lempira,PAC,Edvin Nery Cruz Mejia,259
Lempira,PAC,Jesus Hernan Cruz Perez,567
Lempira,PAC,Olga Floribel Aragon Posadas,373
Lempira,PAP,Alex Eduardo Menjivar Paz,41
Lempira,PAP,Gilma Patricia Rivas Mejia,48
Lempira,PAP,Juan Jose Reyes ,45
Lempira,PAP,Marcos Leopoldo Hernandez Suazo,90
Lempira,PAP,Sulema Josefina Escalante Gomez,32
Lempira,PINU,Candido  Dubon Ramirez,76
Lempira,PINU,Hector Armando Martinez Reyes,163
Lempira,PINU,Karen Yameli Garcia Murillo,189
Lempira,PINU,Loorbin Oralia Hernandez Aguilar,100
Lempira,PINU,Maria Santos Licona ,82
Lempira,UD,Aracely  Portillo Castillo,45
Lempira,UD,Blanca Rosa Guardado Lopez,48
Lempira,UD,Marino  Nataren Melendez,55
Lempira,UD,Teodoro  Diaz Bautista,78
Lempira,UD,Zonia Maibeli Diaz Landaverde,79
Ocotepeque,DC,Fany Marisol Valle Valle,198
Ocotepeque,DC,Jose Alexis Miranda Hernandez,192
Ocotepeque,FAPER,Martha Lidia Hercules Arana,101
Ocotepeque,FAPER,Victor Manuel Chinchilla Valle,90
Ocotepeque,LIBRE,Maria Del Transito Lara ,7238
Ocotepeque,LIBRE,Oscar Orlando Caceres Ruiz,11336
Ocotepeque,Liberal,Hugo Ricardo Hernandez ,12982
Ocotepeque,Liberal,Sandra Amparo Arita Lopez,5981
Ocotepeque,Nacional,Roman  Villeda Aguilar,23193
Ocotepeque,Nacional,Valencita Odalis Leveron Rosa,5345
Ocotepeque,PAC,Julio Alberto Tinoco Espinoza,995
Ocotepeque,PAC,Nancy Marilu Lemuz Zolorsano,636
Ocotepeque,PAP,Elva Guadalupe Pineda Fuentes,38
Ocotepeque,PAP,Rafael Antonio Peraza Guerra,87
Ocotepeque,PINU,Iris Marisol Lopez Gonzalez,134
Ocotepeque,PINU,Luis Alfonzo Jimenez Escobar,93
Ocotepeque,UD,Paim  Gonzalez Perez,37
Ocotepeque,UD,Secia Keren Santos Rivera,41
Olancho,DC,Bernardo Abrahan Cubas ,605
Olancho,DC,Erlin Antonio Hernandes Caceres,1994
Olancho,DC,Flavio Javier Najera Zelaya,4003
Olancho,DC,Fredy Alberto Ordo¿ez Romero,638
Olancho,DC,Lorenza Del Carmen Aguilar Galeano,1509
Olancho,DC,Mirna Areli Padilla Mencia,2049
Olancho,DC,Nora Betina Rodriguez Caceres,1277
Olancho,FAPER,Eda Argentina Bonilla Barralaga,343
Olancho,FAPER,Hector Luis Rubio Artica,226
Olancho,FAPER,Ledis Fabiola Ortiz Funez,636
Olancho,FAPER,Luis Fernando Hernandez Mateo,397
Olancho,FAPER,Manuel Alexis Rodriguez Banegas,411
Olancho,FAPER,Milton Augusto Hernandez Andrade,397
Olancho,FAPER,Yonary Lizeth Yanez Cardenas,742
Olancho,LIBRE,Jose Manuel Zelaya Rosales,64437
Olancho,LIBRE,Jose Ramon Caballero Fajardo,42552
Olancho,LIBRE,Jose Salvador Arnodo Mercado,40286
Olancho,LIBRE,Mario Alexander Ayala Turcios,45617
Olancho,LIBRE,Mario Arturo Padilla Mendoza,41479
Olancho,LIBRE,Miguel Angel Navarro Cruz,52511
Olancho,LIBRE,Yadira Floribeth Alvarez Licona,43779
Olancho,Liberal,Elman Joel Sandoval Sabonge,18496
Olancho,Liberal,Fredy Renan Najera Montoya,22888
Olancho,Liberal,Justo Rene Martinez Miralda,11061
Olancho,Liberal,Luis Beltran Irias Lainez,9175
Olancho,Liberal,Milton Mateo Montalvan Mejia,15414
Olancho,Liberal,Oscar Rolando Flores Pinot,10603
Olancho,Liberal,Sifred Eugenio Brown Mendez,13147
Olancho,Nacional,Dennis Lizandro Mejia Zelaya,50372
Olancho,Nacional,Gilliam  Guifarro Montes De Oca,46420
Olancho,Nacional,Jose Francisco Rivera Hernandez,58500
Olancho,Nacional,Maria Dolores Garcia Guifarro,55548
Olancho,Nacional,Reinaldo Antonio Sanchez Rivera,62677
Olancho,Nacional,Santos Ernesto Calix Molina,53114
Olancho,Nacional,Teresa Concepcion Calix Raudales,58902
Olancho,PAC,Blanca Rosa Del Socorro Rivera Ferrera,2006
Olancho,PAC,Diana Maribel Hernandez Blandin,2101
Olancho,PAC,Enma Mariela Rojas Pacheco,1912
Olancho,PAC,Jorge Leonardo Casco Mendoza,2385
Olancho,PAC,Norma Sagrario Rivera Ferrera,2206
Olancho,PAC,Oscar Samuel Aleman Gutierrez,3397
Olancho,PAC,Osman Roney Banegas Ruiz,1931
Olancho,PAP,Alex David Sandoval Sabonge,907
Olancho,PAP,Hector Oqueli Sarmiento Padilla,2419
Olancho,PAP,Leticia Carolina Madrid Hernandez,364
Olancho,PAP,Lindolfo Rafael Godoy Cabrera,1018
Olancho,PAP,Tania Iveth Romero Lobo,437
Olancho,PAP,Tulio Favian Zelaya Lobo,1222
Olancho,PAP,Yesy Marisela Pagoada Villafranc,347
Olancho,PINU,Andres Eduardo Hernandez ,1049
Olancho,PINU,Dennis Enrrique Rosales Murillo,392
Olancho,PINU,Maria Isabel Garcia Lopez,472
Olancho,PINU,Omar Isaias Pacheco Tejeda,2081
Olancho,PINU,Oscar Bilmer Salazar Rivera,1154
Olancho,PINU,Sindi Carolina Valdez Matute,261
Olancho,PINU,Yolani Albertina Talavera Cruz,410
Olancho,UD,Amalia Yaneth Inestroza Guifarro,1521
Olancho,UD,Juan Alberto Rodriguez Mercadal,2159
Olancho,UD,Karla Maribel Aleman Mejia,1430
Olancho,UD,Liliana Concepcion Medina Ayala,2654
Olancho,UD,Marcos Ramiro Lobo Rosales,7191
Olancho,UD,Rossel Lorenzo Argueta Tejeda,2546
Olancho,UD,Walter Manrrique Juarez Hernandez,1937
Santa Bárbara,DC,Argentina  Garcia ,1798
Santa Bárbara,DC,Edin Armando Rodriguez Pineda,1753
Santa Bárbara,DC,Indira Isabel Delattibodier Amaya,929
Santa Bárbara,DC,Juventina  Rodriguez ,617
Santa Bárbara,DC,Marlyn Gicela Lopez Dubon,828
Santa Bárbara,DC,Rafael  Paz Deras,1998
Santa Bárbara,DC,Raul Alberto Hernandez Rivera,4611
Santa Bárbara,DC,Valentin  Benitez Banegas,756
Santa Bárbara,DC,Yanida Navidad Reyes Toro,518
Santa Bárbara,FAPER,Adalicia  Cardona Ponce,540
Santa Bárbara,FAPER,Angel Maria Herrera Sanchez,261
Santa Bárbara,FAPER,Digna  Benitez Benitez,348
Santa Bárbara,FAPER,Ely Sonia Pineda Guardado,415
Santa Bárbara,FAPER,Jerson Adalid Mejia Trochez,344
Santa Bárbara,FAPER,Jesus Baltazar Martinez Trochez,409
Santa Bárbara,FAPER,Jose Ramon Vasquez Diaz,390
Santa Bárbara,FAPER,Maria  Enamorado ,382
Santa Bárbara,FAPER,Medardo Isac Orellana Orellana,283
Santa Bárbara,LIBRE,Alejandra Maria Mancia Gomez,50155
Santa Bárbara,LIBRE,Carlos Alberto Interiano ,48884
Santa Bárbara,LIBRE,Dennys Antonio Sanchez Fernandez,49047
Santa Bárbara,LIBRE,Edgardo Antonio Casa¿a Mejia,50770
Santa Bárbara,LIBRE,Jorge Enoc Flores ,48670
Santa Bárbara,LIBRE,Jose Ramon Amaya Caballero,47823
Santa Bárbara,LIBRE,Medardo  Rosa Pineda,39767
Santa Bárbara,LIBRE,Oscar Elvir Mendoza Rodriguez,47466
Santa Bárbara,LIBRE,Ramon Enrique Romero Garcia,45938
Santa Bárbara,Liberal,Jesus Dagoberto Perdomo Chavez,14052
Santa Bárbara,Liberal,Juan Carlos Enamorado Alcantara,9988
Santa Bárbara,Liberal,Luis Edgardo Murillo Pineda,6357
Santa Bárbara,Liberal,Marco Tulio Mu¿oz Lopez,7371
Santa Bárbara,Liberal,Mirna Angelica Cardona Rivera,7307
Santa Bárbara,Liberal,Rina Cecilia Barahona Jerezano,5752
Santa Bárbara,Liberal,Rommel  Caballero Mejia,6301
Santa Bárbara,Liberal,Sonia Argentina Fajardo Regalado,6605
Santa Bárbara,Liberal,Victor Rolando Sabillon Sabillon,17445
Santa Bárbara,Nacional,Carmen Alicia Funez Leiva,45415
Santa Bárbara,Nacional,Cesar Enrique Handal Fernandez,50207
Santa Bárbara,Nacional,Claudio Roberto Perdomo Interiano,46563
Santa Bárbara,Nacional,Dixie Roberto Mejia Ayala,43769
Santa Bárbara,Nacional,Mario Alonso Perez Lopez,52338
Santa Bárbara,Nacional,Martha Concepcion Figueroa Torrez,51623
Santa Bárbara,Nacional,Nely  Pineda Ayala,44392
Santa Bárbara,Nacional,Rolando  Dubon Bueso,53492
Santa Bárbara,Nacional,Selma Yadira Silva Rodriguez,46811
Santa Bárbara,PAC,Alma Azucena Teruel Medina,4187
Santa Bárbara,PAC,Florentina  Reyes Herrera,3490
Santa Bárbara,PAC,Gloria Yasmin Meza Erazo,5739
Santa Bárbara,PAC,Jose Adalid Rivera Perez,5068
Santa Bárbara,PAC,Jose Maria Perdomo Ulloa,4789
Santa Bárbara,PAC,Kenia Maricela Lopez Gonzales,4541
Santa Bárbara,PAC,Leonel  Ayala Flores,5605
Santa Bárbara,PAC,Merlin Nohe Escobar Hernandez,6066
Santa Bárbara,PAC,Teodocio  Paz ,5146
Santa Bárbara,PAP,Carlos Jose Banegas ,238
Santa Bárbara,PAP,Celenia Maria Borjas Martinez,200
Santa Bárbara,PAP,Flora Idalma Lopez Vallecillo,100
Santa Bárbara,PAP,Glenda Arely Alonzo Barahona,187
Santa Bárbara,PAP,Jesus Guillermo Alonzo Trejo,155
Santa Bárbara,PAP,Luis Guillermo Rivera Medrano,231
Santa Bárbara,PAP,Oscar Orlando Guzman Bennett,226
Santa Bárbara,PAP,Osvaldo Omar Caballero Rapalo,134
Santa Bárbara,PAP,Pastora  Madrid Garcia,182
Santa Bárbara,UD,Blanca Suyapa Membre¿o Matute,1228
Santa Bárbara,UD,Coronado  Gomez Izaguirre,1500
Santa Bárbara,UD,Idania Yadira Rodriguez ,2387
Santa Bárbara,UD,Jose Ramon Gomez ,2527
Santa Bárbara,UD,Liduvina  Perdomo Castellanos,2858
Santa Bárbara,UD,Lily May Oliver Urbina,1617
Santa Bárbara,UD,Maria Teresa Sabillon Turcios,1520
Santa Bárbara,UD,Oscar Humberto Mejia Hernandez,4133
Santa Bárbara,UD,Sergio Arturo Castellanos Perdomo,15304
Valle,DC,Carlos Humberto Manzanares Cabrera,4364
Valle,DC,Flora Azucena Avila Matamoros,1920
Valle,DC,Jisela Rosmery Godinez Nu¿ez,1680
Valle,DC,Rodrigo Alexis Romero Villalobos,1585
Valle,LIBRE,Eleazar Alexander Juarez Sarabia,11992
Valle,LIBRE,Rony  Cruz Castillo,8108
Valle,LIBRE,Rony Javier Paz Reyes,9526
Valle,LIBRE,Wilfredo  Guevara Trujillo,9497
Valle,Liberal,Elida Karina Reyes Posadas,11183
Valle,Liberal,Jeronimo Aristides Gonzales Hernandez,10232
Valle,Liberal,Jose Alfredo Saavedra Paz,20140
Valle,Liberal,Rosario Emperatris Carias ,10226
Valle,Nacional,Ana Julia Garcia Villalobos,14109
Valle,Nacional,Jose Tomas Zambrano Molina,20868
Valle,Nacional,Luz Arely Valdez Melendez,14668
Valle,Nacional,Marcos Antonio Velasquez ,15684
Valle,PAC,Bernabe  Larios Villatoro,3844
Valle,PAC,Daniela Paola Flores Morales,1846
Valle,PAC,Ebesly Ribai Reyes Bustamante,1213
Valle,PAC,Karen Lorena Lemus Berrios,1111
Valle,PAP,Elva Noemy Manzanares Villatoro,138
Valle,PAP,Erwin Gustavo Baquedano Mejia,431
Valle,PAP,Jose Catalino Martinez Garcia,220
Valle,PAP,Nancy Fabiola Alvarado Osorio,227
Valle,PINU,Denis Amilcar Flores Ortiz,200
Valle,PINU,Francis Alejandra Linarez Gutierrez,126
Valle,PINU,Lidia Yesenia Cruz Lainez,147
Valle,PINU,Miguel Angel Talavera Cruz,206
Valle,UD,Karla Patricia Aguilera Villalobos,151
Valle,UD,Lino  Godinez ,559
Valle,UD,Martir Eusebio Alvarado Izaguirre,306
Valle,UD,Roxana Gabriela Ramirez Ramirez,55
Yoro,DC,Adan De Jesus Ramirez Figueroa,1685
Yoro,DC,Denis Javier Cruz Martinez,2070
Yoro,DC,Doris Yanira Bautista Ortiz,568
Yoro,DC,Eva Rosario Martinez Sanchez,766
Yoro,DC,Francisco Javier Funez Ortega,1571
Yoro,DC,Juan Carlos Arita Licona,835
Yoro,DC,Juan Manuel Lagos Ortiz,1279
Yoro,DC,Paola Elena Orellana Martinez,1818
Yoro,DC,Yadira Yamileth Reyes Cabrera,1792
Yoro,FAPER,Aydee Margoth Sandoval Mendoza,640
Yoro,FAPER,Claudia Patricia Rosales Elias,631
Yoro,FAPER,Gloria Elizabeth Caballero Moya,530
Yoro,FAPER,Jairo Roylan Mendoza Mejia,362
Yoro,FAPER,Jose Omar Hernandez ,425
Yoro,FAPER,Lesly Amparo Echeverria Matamoros,413
Yoro,FAPER,Manuela Del Carmen Maldonado Rodriguez,332
Yoro,FAPER,Marvin Alexis Ramirez Juarez,820
Yoro,FAPER,Sara Lizet Sorto Lorenzo,471
